year,netCO2-tonnes
2019,1100000000
2020,418000000
2021,482000000
2022,750000000
2023,1180000000
2024,1210000000
2025,1230000000
2026,1250000000
2027,1260000000
2028,1280000000
2029,1300000000
2030,1310000000
2031,1320000000
2032,1340000000
2033,1340000000
2034,1340000000
2035,1340000000
2036,1310000000
2037,1280000000
2038,1250000000
2039,1210000000
2040,1170000000
2041,1130000000
2042,1090000000
2043,1040000000
2044,994000000
2045,941000000
2046,887000000
2047,830000000
2048,772000000
2049,713000000
2050,654000000
2051,635000000
2052,625000000
2053,615000000
2054,605000000
2055,595000000
2056,585000000
2057,575000000
2058,565000000
2059,555000000
2060,545000000
2061,535000000
2062,525000000
2063,515000000
2064,505000000
2065,495000000
2066,485000000
2067,475000000
2068,465000000
2069,455000000
2070,445000000
2071,435000000
2072,425000000
2073,415000000
2074,405000000
2075,395000000
2076,385000000
2077,375000000
2078,365000000
2079,355000000
2080,345000000
2081,335000000
2082,325000000
2083,315000000
2084,305000000
2085,295000000
2086,285000000
2087,275000000
2088,265000000
2089,255000000
2090,245000000
2091,235000000
2092,225000000
2093,215000000
2094,205000000
2095,195000000
2096,185000000
2097,175000000
2098,165000000
2099,155000000
2100,145000000
